variable,coefficient,std_err,z_value,p_value,sig
L1.ln_gdp_pc,0.9664368195957422,0.017244548576587807,56.04303384942373,0.0,***
repression,-0.011573908092550322,0.00666043967328656,-1.7377093195469537,0.08226204574840937, 
gross_fixed_capital_formation_perecent_of_gdp,0.0010781751020569885,0.0004968713662847582,2.1699280240654555,0.030012298961893908,*
trade_percentageof_gdp,0.0004194143127442115,0.00015863375681009374,2.643915905278015,0.008195301429738174,**
inflation_consumer_prices_annual_perecentage_growth,-0.0002841266911506324,8.048886246379861e-05,-3.530012506741833,0.00041554002320189196,***
population_growth_annual_percentage,-0.020192696897259665,0.006559642139672687,-3.0783229431273886,0.0020816919038865824,**
expenditure_on_education,-0.0011696521457578157,0.001033633717559458,-1.1315924837664106,0.25780580151782173, 
_con,0.3126296139135434,0.16206661835384928,1.9290191718010758,0.053728482204800136, 
