variable,coefficient,std_err,z_value,p_value,sig
L1.ln_gdp_pc,0.9855803992390264,0.013601364359682091,72.46187758637933,0.0,***
repression,-0.0003288449936320603,0.009793937126537759,-0.033576383979535496,0.9732149545016975, 
gross_fixed_capital_formation_perecent_of_gdp,0.0013035648513879394,0.0003496918514839644,3.727753008416086,0.0001931945747241216,***
trade_percentageof_gdp,0.00019976181340031207,0.00012672842059365175,1.5762984535318891,0.11495703788127293, 
inflation_consumer_prices_annual_perecentage_growth,-0.00022607650692388348,3.9821561959040646e-05,-5.677238556247982,1.3688651198376513e-08,***
population_growth_annual_percentage,-0.010869106169252518,0.004706986208620059,-2.309143406740297,0.02093562475607775,*
expenditure_on_education,4.937196940169031e-05,0.0008185290964947684,0.06031791614142805,0.951902432908094, 
_con,0.11395383641092849,0.12854711535475577,0.8864752514783881,0.3753614845188984, 
