target,lag_min,lag_max,coef,se,pval,cmd
repression,2,3,-0.012496302847850416,0.006961785774866629,0.07265604846044434,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:3) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse"
repression,2,4,-0.011573908092550322,0.00666043967328656,0.08226204574840937,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:4) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse"
repression,2,5,-0.011038903069913175,0.006553101086974921,0.09207905993088378,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse"
repression,3,4,-0.00032884499553986757,0.009793937125385599,0.9732149543432115,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 3:4) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse"
repression,3,5,-0.0014163209743061067,0.009333663356234636,0.8793893960603587,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 3:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse"
repression,4,5,-0.016012930566276395,0.00916113159697637,0.08047777857008737,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 4:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse"
