variable,coefficient,std_err,z_value,p_value,sig
L1.ln_gdp_pc,0.9661562673294206,0.017140849584433893,56.365716446564896,0.0,***
repression,-0.010929723735081165,0.006482281511041144,-1.686092113781973,0.09177805872796653, 
gross_fixed_capital_formation_perecent_of_gdp,0.001081279113227751,0.0004948166589429484,2.185211620679127,0.028873333870030975,*
trade_percentageof_gdp,0.00041806751987965955,0.00015784236641308618,2.648639458341262,0.008081649786798591,**
inflation_consumer_prices_annual_perecentage_growth,-0.0002834603649492645,7.98214280422772e-05,-3.5511813293935375,0.00038350609792366834,***
population_growth_annual_percentage,-0.020087723040266958,0.006483464715258559,-3.098300665227861,0.00194633855545644,**
expenditure_on_education,-0.001166812540210671,0.0010279509511892534,-1.1350858120815652,0.2563393655670245, 
_con,0.314174028370644,0.16108043879060818,1.95041701357075,0.051126435645788934, 
