variable,coefficient,std_err,z_value,p_value,sig
L1.ln_gdp_pc,0.9855444193099743,0.019448641681800768,50.67420313636637,0.0,***
repression,-0.016012930566276395,0.00916113159697637,-1.747920592207349,0.08047777857008737, 
gross_fixed_capital_formation_perecent_of_gdp,0.001179834864899476,0.00044235715193706123,2.667154492095436,0.007649649860800202,**
trade_percentageof_gdp,0.00028839622225496075,0.00018110052301191032,1.5924648778402146,0.11128028872609198, 
inflation_consumer_prices_annual_perecentage_growth,-0.000249601088378848,7.368195117478035e-05,-3.3875472133843374,0.0007052057849561956,***
population_growth_annual_percentage,-0.01564916473860123,0.006756350311743212,-2.316215710633212,0.020546493808194247,*
expenditure_on_education,-0.0003235646388048963,0.0012245988097957627,-0.2642209319629014,0.7916096826557322, 
_con,0.14039963828633972,0.188032999262095,0.7466755241756252,0.4552594475202594, 
