variable,coefficient,std_err,z_value,p_value,sig
L1.ln_gdp_pc,0.9667759627722035,0.01743693648853889,55.44414085625964,0.0,***
repression,-0.012496302847850416,0.006961785774866629,-1.7949852598114189,0.07265604846044434, 
gross_fixed_capital_formation_perecent_of_gdp,0.0010738874757638683,0.0005002038546852848,2.146899640426662,0.03180127225935502,*
trade_percentageof_gdp,0.0004218085016753914,0.00015920916631625897,2.64939834454943,0.00806352265039325,**
inflation_consumer_prices_annual_perecentage_growth,-0.0002851847543005326,8.16819232638204e-05,-3.4914059672594693,0.00048048556473509864,***
population_growth_annual_percentage,-0.020364651786035637,0.006563360551197394,-3.102778161763548,0.0019171328852597553,**
expenditure_on_education,-0.0011738476839067147,0.0010461908723699417,-1.1220205747423424,0.26185369195354824, 
_con,0.31095551791838716,0.16343717474464547,1.9025996894783859,0.057092799710973745, 
