variable,coefficient,std_err,z_value,p_value,sig
L1.ln_gdp_pc,0.9836711975763834,0.005967798387914275,164.8298306404706,0.0,***
repression,0.0014795886548606418,0.003183730105152125,0.4647343229459911,0.6421217256959058, 
gross_fixed_capital_formation_perecent_of_gdp,0.0013841711807467405,0.00034125880242622826,4.056074659190554,4.9904313665420564e-05,***
trade_percentageof_gdp,0.0001779313247845804,6.026262910760448e-05,2.952598109632217,0.003151119179132521,**
inflation_consumer_prices_annual_perecentage_growth,-0.00023807176083470716,4.803675591545491e-05,-4.956033276970564,7.194689907038376e-07,***
population_growth_annual_percentage,-0.01157776847039238,0.00239842222593007,-4.82724365427472,1.3843570991217218e-06,***
expenditure_on_education,-4.1233349326930124e-05,0.0004575498060270857,-0.09011772878882877,0.9281936610058272, 
_con,0.1308045249073757,0.05524855185239691,2.367564769061017,0.01790558565230533,*
