model,key_var,coef,se,pval,nobs
TWFE,repression,0.009231005379460535,0.021837879912615796,0.6725461346903003,2693.0
IV-FE,repression,-0.00015977080916229625,0.025725254081136743,0.9950446420480015,2693.0
System GMM,repression,-0.011573908092550322,0.00666043967328656,0.08226204574840937,
DID,did_treat_post,0.08142344694662444,0.061519733449477886,0.1857792313847222,2693.0
