variable,coefficient,std_err,z_value,p_value,sig
L1.ln_gdp_pc,0.9855444193763248,0.01944864166639014,50.67420317993095,0.0,***
repression,-0.016012930566468242,0.009161131588090194,-1.7479205939237503,0.08047777827283527, 
gross_fixed_capital_formation_perecent_of_gdp,0.0011798348654776802,0.00044235715146963473,2.6671544962208418,0.007649649766896317,**
trade_percentageof_gdp,0.0002883962217041791,0.00018110052283306277,1.5924648763715652,0.11128028905584203, 
inflation_consumer_prices_annual_perecentage_growth,-0.00024960108824634286,7.368195110857897e-05,-3.3875472146296244,0.0007052057817547845,***
population_growth_annual_percentage,-0.01564916471631861,0.006756350302366556,-2.3162157105496965,0.02054649381275193,*
expenditure_on_education,-0.0003235646347921062,0.001224598808593552,-0.26422092894547167,0.7916096849807034, 
_con,0.14039963761774743,0.188032999102231,0.7466755212547243,0.45525944928382667, 
