variable,coefficient,std_err,z_value,p_value,sig
L1.ln_gdp_pc,0.9833486231288675,0.0061466138009836115,159.9821714797678,0.0,***
repression,0.001245598258915237,0.0033687655384995884,0.3697491691481779,0.7115693922943273, 
gross_fixed_capital_formation_perecent_of_gdp,0.0013704649871080221,0.0003435646035026433,3.988958621278569,6.63639955540461e-05,***
trade_percentageof_gdp,0.0001823194366540326,6.184408231390079e-05,2.9480498348837556,0.0031978550873314007,**
inflation_consumer_prices_annual_perecentage_growth,-0.0002424147177686048,4.4395661511364306e-05,-5.460324489287134,4.7526512434198845e-08,***
population_growth_annual_percentage,-0.01181253982889996,0.0024352091619566337,-4.850729051712691,1.2300848838353994e-06,***
expenditure_on_education,-5.122738425367146e-05,0.00046673351484878025,-0.10975724396022626,0.9126019004854753, 
_con,0.13433816449102665,0.05679347329898011,2.3653803278384644,0.018011563357341328,*
