event_time,coef,se,pval
-5,-0.0015761785042905587,0.04160398575018605,0.9697893287896493
-4,0.04695792543979055,0.025493789135403535,0.06588288125631747
-3,0.07127255277298036,0.04809694814289798,0.13880368253791353
-2,0.07116272653365063,0.043655580941185976,0.10350532959066694
0,0.04522414386964911,0.03558679925738198,0.20419315404021954
1,0.042260121629748695,0.037402613898690956,0.25889528592604627
2,0.02989687738527623,0.030978306475552962,0.3348133599567156
3,0.014820249128871732,0.028776269643885237,0.6066947787881174
4,0.02212425108859452,0.029741439646314708,0.45718040821905204
5,0.027770030072783967,0.02936420969496537,0.34460390514216055
