entity,year,gdp_pc,repression,iv_repression,gross_fixed_capital_formation_perecent_of_gdp,trade_percentageof_gdp,inflation_consumer_prices_annual_perecentage_growth,population_growth_annual_percentage,expenditure_on_education,ln_gdp_pc
Argentina,2020,11393.0506,2.076,0.891,14.28250537,30.20369881,42.01509474,0.484665637,12.42228985,9.340758852011874
Argentina,2021,12549.28117,2.076,0.887,17.29063258,33.07868957,48.40937863,0.265879395,12.28489971,9.437418665628687
Argentina,2022,13276.82321,1.19,0.816,17.61779019,31.58017926,72.43075753,0.210808731,12.70757961,9.493775178299229
Armenia,2013,3266.29883,1.841,0.789,21.212512,77.55504816,5.789667785,-0.06946627,8.749751091,8.091412766589128
Armenia,2017,3815.374743,1.804,0.787,17.648376,87.20237654,0.969553269,-0.43203845,8.891125679,8.246794167727973
Armenia,2018,4027.83393,2.557,0.92,16.74091087,92.47310702,2.52023382,-0.349674218,8.988576889,8.300984024090802
Armenia,2019,4343.458396,2.557,0.926,15.81559843,97.84700487,1.443446608,-0.219168932,10.00509262,8.376426175203543
Armenia,2020,4032.090435,2.557,0.926,17.77392125,70.12135714,1.211435778,-0.033760973,9.572380066,8.302040238815147
Armenia,2021,4264.799615,2.293,0.889,21.20394186,79.24890576,7.184836294,0.02700969,9.667304039,8.358150475234677
Armenia,2022,4791.004817,2.293,0.912,21.06911323,103.8786292,8.64091109,0.232656263,9.702664375,8.47449544230946
Australia,1999,44755.65997,3.026,0.98,25.32969882,38.96024671,1.483139467,1.093975803,14.12623692,10.708973195481645
Australia,2000,45979.07657,3.026,0.98,25.89196542,40.86312577,4.457437059,1.144472851,14.42712498,10.735941714818415
Australia,2001,46314.62353,3.026,0.98,23.15820217,44.1337314,4.407129986,1.283968091,15.16472816,10.743213033186993
Australia,2002,47599.40793,3.026,0.98,24.25546236,41.38131281,2.98157117,1.137538736,15.55063248,10.770575601696775
Australia,2003,48509.66322,3.026,0.98,26.00703094,40.13480118,2.732597548,1.150192733,15.61610031,10.789518298729078
Australia,2004,50018.59045,3.026,0.98,26.58806592,36.95051596,2.343256871,1.069198122,15.51314545,10.820150024306445
Australia,2005,50972.64052,3.026,0.98,26.96762431,39.09788226,2.691829496,1.217290731,15.82420254,10.839044307367946
Australia,2006,51682.89252,3.026,0.98,27.74128666,41.48789235,3.55528697,1.349450831,15.62589169,10.852882106704474
Australia,2007,52671.32585,3.026,0.98,27.34717558,41.92974513,2.327614426,1.824996795,15.09505367,10.87182648493448
Australia,2008,53497.27536,3.026,0.98,28.14940816,42.75222079,4.350297267,2.003911405,15.0764637,10.887386003736763
Australia,2009,53430.52748,3.026,0.98,27.51298878,45.59361209,1.771120257,2.060833163,14.79484749,10.88613753725944
Australia,2010,53768.34973,3.026,0.98,26.94613524,40.39050709,2.918337021,1.555706262,17.11578178,10.892440278055073
Australia,2011,54296.23213,3.026,0.98,25.94328683,41.72198601,3.303847847,1.389527316,17.12748146,10.902210113643351
Australia,2012,55465.44629,3.026,0.98,27.31759085,43.01984955,1.762782991,1.745820001,15.39351368,10.923515516475915
Australia,2013,55966.15093,3.026,0.98,27.72863956,41.10051188,2.449882481,1.72115144,15.56298923,10.93250233928657
Australia,2014,56571.80625,3.026,0.98,26.75823016,42.29930954,2.487929321,1.491566489,15.03333378,10.943266017295382
